pos,SRR,low_mean,mean,high_mean,2,max,min,3,1,num_reads,avg_phred_score
14,SRR23143755,33.2337,33.2609,33.2881,Max,33.2745,33.2473,Min,Mean,0,31.7835
15,SRR23143755,33.2138,33.2316,33.2494,Max,33.2405,33.2227,Min,Mean,0,31.7835
16,SRR23143755,33.2096,33.2361,33.2626,Max,33.2494,33.2228,Min,Mean,0,31.7835
17,SRR23143755,33.217,33.2501,33.2832,Max,33.2667,33.2336,Min,Mean,0,31.7835
18,SRR23143755,33.1826,33.2356,33.2886,Max,33.2621,33.2091,Min,Mean,31145,31.7835
19,SRR23143755,32.94,33.1554,33.3708,Max,33.2631,33.0477,Min,Mean,-31145,31.7835
20,SRR23143755,33.1563,33.2164,33.2765,Max,33.2465,33.1864,Min,Mean,0,31.7835
21,SRR23143755,33.1478,33.2184,33.2891,Max,33.2537,33.1831,Min,Mean,0,31.7835
22,SRR23143755,33.1202,33.1807,33.2412,Max,33.2109,33.1504,Min,Mean,0,31.7835
23,SRR23143755,33.0939,33.1796,33.2652,Max,33.2224,33.1368,Min,Mean,0,31.7835
24,SRR23143755,33.0808,33.1576,33.2345,Max,33.196,33.1192,Min,Mean,0,31.7835
25,SRR23143755,33.1598,33.1743,33.1887,Max,33.1815,33.1671,Min,Mean,0,31.7835
26,SRR23143755,33.1323,33.1778,33.2232,Max,33.2005,33.155,Min,Mean,0,31.7835
27,SRR23143755,33.1007,33.1468,33.1929,Max,33.1699,33.1238,Min,Mean,0,31.7835
28,SRR23143755,33.0946,33.1419,33.1892,Max,33.1655,33.1182,Min,Mean,0,31.7835
29,SRR23143755,33.0379,33.0971,33.1562,Max,33.1266,33.0675,Min,Mean,0,31.7835
30,SRR23143755,33.0031,33.0577,33.1123,Max,33.085,33.0304,Min,Mean,0,31.7835
31,SRR23143755,32.9951,33.0642,33.1333,Max,33.0988,33.0296,Min,Mean,0,31.7835
32,SRR23143755,32.943,33.0075,33.072,Max,33.0397,32.9752,Min,Mean,0,31.7835
33,SRR23143755,32.9386,33.02,33.1015,Max,33.0607,32.9793,Min,Mean,0,31.7835
34,SRR23143755,32.9063,32.9617,33.0171,Max,32.9894,32.934,Min,Mean,0,31.7835
35,SRR23143755,32.8496,32.9447,33.0399,Max,32.9923,32.8972,Min,Mean,0,31.7835
36,SRR23143755,32.8782,32.9208,32.9633,Max,32.9421,32.8995,Min,Mean,0,31.7835
37,SRR23143755,32.7783,32.8992,33.0202,Max,32.9597,32.8388,Min,Mean,0,31.7835
38,SRR23143755,32.8627,32.9198,32.9769,Max,32.9484,32.8913,Min,Mean,0,31.7835
39,SRR23143755,32.7715,32.8713,32.9711,Max,32.9212,32.8214,Min,Mean,0,31.7835
40,SRR23143755,32.7683,32.8329,32.8975,Max,32.8652,32.8006,Min,Mean,31595,31.7835
41,SRR23143755,32.712,32.7908,32.8695,Max,32.8302,32.7514,Min,Mean,-31595,31.7835
42,SRR23143755,32.7598,32.8213,32.8828,Max,32.8521,32.7905,Min,Mean,0,31.7835
43,SRR23143755,32.7246,32.7729,32.8213,Max,32.7971,32.7488,Min,Mean,0,31.7835
44,SRR23143755,32.7072,32.7673,32.8275,Max,32.7974,32.7373,Min,Mean,0,31.7835
45,SRR23143755,32.6464,32.6984,32.7504,Max,32.7244,32.6724,Min,Mean,0,31.7835
46,SRR23143755,32.6443,32.6979,32.7515,Max,32.7247,32.6711,Min,Mean,0,31.7835
47,SRR23143755,32.5423,32.6351,32.728,Max,32.6816,32.5887,Min,Mean,0,31.7835
48,SRR23143755,32.5645,32.6561,32.7477,Max,32.7019,32.6103,Min,Mean,0,31.7835
49,SRR23143755,32.4864,32.5828,32.6792,Max,32.631,32.5346,Min,Mean,0,31.7835
50,SRR23143755,32.5215,32.6115,32.7015,Max,32.6565,32.5665,Min,Mean,0,31.7835
51,SRR23143755,32.4429,32.5397,32.6364,Max,32.588,32.4913,Min,Mean,0,31.7835
52,SRR23143755,32.4688,32.59,32.7111,Max,32.6505,32.5294,Min,Mean,0,31.7835
53,SRR23143755,32.387,32.478,32.5689,Max,32.5235,32.4325,Min,Mean,0,31.7835
54,SRR23143755,32.4195,32.5202,32.6209,Max,32.5706,32.4699,Min,Mean,0,31.7835
55,SRR23143755,32.2932,32.387,32.4809,Max,32.434,32.3401,Min,Mean,0,31.7835
56,SRR23143755,32.3327,32.4861,32.6395,Max,32.5628,32.4094,Min,Mean,0,31.7835
57,SRR23143755,32.2205,32.3552,32.4899,Max,32.4226,32.2878,Min,Mean,0,31.7835
58,SRR23143755,32.2828,32.4416,32.6005,Max,32.5211,32.3622,Min,Mean,16423,31.7835
59,SRR23143755,31.9482,32.2559,32.5636,Max,32.4097,32.102,Min,Mean,-16423,31.7835
60,SRR23143755,32.292,32.4268,32.5617,Max,32.4942,32.3594,Min,Mean,0,31.7835
61,SRR23143755,32.1701,32.2868,32.4034,Max,32.3451,32.2284,Min,Mean,3,31.7835
62,SRR23143755,32.1568,32.3518,32.5467,Max,32.4492,32.2543,Min,Mean,-3,31.7835
63,SRR23143755,32.0688,32.2261,32.3834,Max,32.3047,32.1475,Min,Mean,15768,31.7835
64,SRR23143755,32.1763,32.3037,32.4311,Max,32.3674,32.24,Min,Mean,-15768,31.7835
65,SRR23143755,32.0814,32.1768,32.2722,Max,32.2245,32.1291,Min,Mean,0,31.7835
66,SRR23143755,32.1291,32.2702,32.4114,Max,32.3408,32.1997,Min,Mean,0,31.7835
67,SRR23143755,32.0233,32.1367,32.2501,Max,32.1934,32.08,Min,Mean,0,31.7835
68,SRR23143755,32.0552,32.2258,32.3963,Max,32.311,32.1405,Min,Mean,0,31.7835
69,SRR23143755,31.9996,32.0966,32.1936,Max,32.1451,32.0481,Min,Mean,0,31.7835
70,SRR23143755,32.0448,32.1811,32.3173,Max,32.2492,32.1129,Min,Mean,0,31.7835
71,SRR23143755,31.9188,32.04,32.1612,Max,32.1006,31.9794,Min,Mean,0,31.7835
72,SRR23143755,31.9972,32.1372,32.2773,Max,32.2072,32.0672,Min,Mean,0,31.7835
73,SRR23143755,31.93,31.9862,32.0425,Max,32.0144,31.9581,Min,Mean,0,31.7835
74,SRR23143755,31.954,32.0667,32.1794,Max,32.1231,32.0104,Min,Mean,0,31.7835
75,SRR23143755,31.856,31.9155,31.975,Max,31.9452,31.8857,Min,Mean,0,31.7835
76,SRR23143755,31.9505,32.0089,32.0672,Max,32.038,31.9797,Min,Mean,0,31.7835
77,SRR23143755,31.8264,31.8502,31.874,Max,31.8621,31.8383,Min,Mean,0,31.7835
78,SRR23143755,31.8958,31.9343,31.9729,Max,31.9536,31.9151,Min,Mean,0,31.7835
79,SRR23143755,31.7473,31.7854,31.8234,Max,31.8044,31.7663,Min,Mean,0,31.7835
80,SRR23143755,31.8994,31.9005,31.9016,Max,31.9011,31.9,Min,Mean,0,31.7835
81,SRR23143755,31.747,31.7571,31.7672,Max,31.7621,31.752,Min,Mean,0,31.7835
82,SRR23143755,31.8519,31.8525,31.853,Max,31.8527,31.8522,Min,Mean,0,31.7835
83,SRR23143755,31.6984,31.7028,31.7071,Max,31.705,31.7006,Min,Mean,0,31.7835
84,SRR23143755,31.73,31.7819,31.8339,Max,31.8079,31.7559,Min,Mean,0,31.7835
85,SRR23143755,31.6109,31.6172,31.6235,Max,31.6204,31.6141,Min,Mean,0,31.7835
86,SRR23143755,31.6673,31.7144,31.7615,Max,31.738,31.6909,Min,Mean,0,31.7835
87,SRR23143755,31.4413,31.5369,31.6326,Max,31.5848,31.4891,Min,Mean,0,31.7835
88,SRR23143755,31.3905,31.6062,31.8219,Max,31.714,31.4984,Min,Mean,0,31.7835
89,SRR23143755,31.3069,31.4582,31.6095,Max,31.5338,31.3825,Min,Mean,0,31.7835
90,SRR23143755,31.4245,31.6037,31.7829,Max,31.6933,31.5141,Min,Mean,0,31.7835
91,SRR23143755,31.3449,31.4151,31.4852,Max,31.4501,31.38,Min,Mean,46,31.7835
92,SRR23143755,31.3917,31.5038,31.6159,Max,31.5599,31.4478,Min,Mean,-46,31.7835
93,SRR23143755,31.257,31.3341,31.4111,Max,31.3726,31.2956,Min,Mean,32340,31.7835
94,SRR23143755,31.298,31.4216,31.5452,Max,31.4834,31.3598,Min,Mean,-32340,31.7835
95,SRR23143755,31.2256,31.3212,31.4168,Max,31.369,31.2734,Min,Mean,0,31.7835
96,SRR23143755,31.2439,31.403,31.5621,Max,31.4826,31.3235,Min,Mean,0,31.7835
97,SRR23143755,31.135,31.2653,31.3955,Max,31.3304,31.2001,Min,Mean,0,31.7835
98,SRR23143755,31.0931,31.3053,31.5175,Max,31.4114,31.1992,Min,Mean,0,31.7835
99,SRR23143755,30.9136,31.1524,31.3911,Max,31.2717,31.033,Min,Mean,1,31.7835
100,SRR23143755,30.9034,31.2129,31.5224,Max,31.3676,31.0582,Min,Mean,-1,31.7835
101,SRR23143755,30.7766,31.068,31.3594,Max,31.2137,30.9223,Min,Mean,0,31.7835
102,SRR23143755,30.7415,31.1233,31.505,Max,31.3141,30.9324,Min,Mean,0,31.7835
103,SRR23143755,30.5911,30.95,31.309,Max,31.1295,30.7706,Min,Mean,0,31.7835
104,SRR23143755,30.6415,31.0228,31.4041,Max,31.2135,30.8321,Min,Mean,0,31.7835
105,SRR23143755,30.5849,30.9015,31.2182,Max,31.0599,30.7432,Min,Mean,0,31.7835
106,SRR23143755,30.6474,30.9587,31.27,Max,31.1143,30.803,Min,Mean,0,31.7835
107,SRR23143755,30.6183,30.8556,31.0928,Max,30.9742,30.7369,Min,Mean,0,31.7835
108,SRR23143755,30.5803,30.9058,31.2312,Max,31.0685,30.7431,Min,Mean,0,31.7835
109,SRR23143755,30.4308,30.7706,31.1105,Max,30.9405,30.6007,Min,Mean,0,31.7835
110,SRR23143755,30.3831,30.8281,31.273,Max,31.0505,30.6056,Min,Mean,0,31.7835
111,SRR23143755,30.2781,30.7066,31.135,Max,30.9208,30.4924,Min,Mean,2,31.7835
112,SRR23143755,30.2518,30.7624,31.273,Max,31.0177,30.5071,Min,Mean,-2,31.7835
113,SRR23143755,30.134,30.6213,31.1087,Max,30.865,30.3777,Min,Mean,0,31.7835
114,SRR23143755,30.0212,30.6613,31.3013,Max,30.9813,30.3413,Min,Mean,0,31.7835
115,SRR23143755,30.0129,30.5678,31.1228,Max,30.8453,30.2904,Min,Mean,0,31.7835
116,SRR23143755,30.0526,30.6193,31.1859,Max,30.9026,30.3359,Min,Mean,0,31.7835
117,SRR23143755,30.0779,30.5152,30.9525,Max,30.7338,30.2966,Min,Mean,0,31.7835
118,SRR23143755,30.1664,30.5167,30.867,Max,30.6919,30.3415,Min,Mean,0,31.7835
119,SRR23143755,29.8955,30.3987,30.9018,Max,30.6502,30.1471,Min,Mean,0,31.7835
120,SRR23143755,30.0224,30.5507,31.079,Max,30.8148,30.2866,Min,Mean,0,31.7835
121,SRR23143755,30.0287,30.4521,30.8756,Max,30.6639,30.2404,Min,Mean,74,31.7835
