pos,mean-2stdev,mean,mean+2stdev,numFiles,max,min,highOutliers,lowOutliers,#reads
175,29.1585,30.6220,32.0855,2,31.3537,29.8903,"","",225
176,28.4614,30.1879,31.9144,2,31.0511,29.3247,"","",221
177,28.3276,30.1405,31.9535,2,31.0470,29.2341,"","",283
178,28.1589,29.8959,31.6329,2,30.7644,29.0274,"","",259
179,27.9534,29.8565,31.7596,2,30.8080,28.9049,"","",347
180,27.7716,29.5192,31.2667,2,30.3930,28.6454,"","",272
181,27.1390,29.2559,31.3728,2,30.3143,28.1974,"","",495
182,27.0957,29.2915,31.4873,2,30.3894,28.1936,"","",277
183,27.2061,29.3760,31.5458,2,30.4609,28.2911,"","",276
184,26.9956,29.3084,31.6212,2,30.4648,28.1520,"","",281
185,27.0871,29.3483,31.6095,2,30.4789,28.2177,"","",276
186,27.1650,29.1186,31.0722,2,30.0954,28.1418,"","",281
187,26.9286,29.2755,31.6224,2,30.4489,28.1021,"","",269
188,27.5807,29.5727,31.5647,2,30.5687,28.5767,"","",307
189,27.8162,29.2001,30.5840,2,29.8921,28.5082,"","",371
190,27.0040,28.6046,30.2053,2,29.4050,27.8043,"","",322
191,27.5113,28.6633,29.8154,2,29.2394,28.0873,"","",420
192,27.9545,28.9111,29.8678,2,29.3895,28.4328,"","",381
193,27.4433,29.2328,31.0224,2,30.1276,28.3381,"","",380
194,27.9039,29.3505,30.7972,2,30.0738,28.6272,"","",375
195,27.9171,29.3525,30.7880,2,30.0703,28.6348,"","",401
196,27.9974,29.2696,30.5417,2,29.9056,28.6335,"","",522
197,28.3261,29.1427,29.9593,2,29.5510,28.7344,"","",571
198,27.8944,29.0689,30.2435,2,29.6562,28.4816,"","",544
199,28.2708,28.9516,29.6324,2,29.2920,28.6112,"","",557
200,28.4263,29.0663,29.7063,2,29.3863,28.7463,"","",641
201,27.7160,29.2412,30.7664,2,30.0038,28.4786,"","",703
202,27.6435,28.8186,29.9936,2,29.4061,28.2311,"","",1071
203,28.5101,29.0496,29.5890,2,29.3193,28.7798,"","",1907
204,28.2444,28.6833,29.1222,2,28.9028,28.4639,"","",1212
205,27.8477,28.6592,29.4708,2,29.0650,28.2535,"","",1122
206,27.4524,28.4141,29.3758,2,28.8949,27.9332,"","",1230
