pos,SRR,low_mean,mean,high_mean,numFiles,max,min,3,2,num_reads
110,SRR23143753,29.2614,30.0222,30.783,2,30.4026,29.6418,,,0
111,SRR23143753,29.2324,30.0603,30.8882,2,30.4743,29.6463,,,0
112,SRR23143753,29.1163,30.1943,31.2723,2,30.7333,29.6553,,,0
113,SRR23143753,28.861,30.1495,31.438,2,30.7938,29.5053,,,0
114,SRR23143753,28.6726,30.164,31.6555,2,30.9098,29.4183,,,0
115,SRR23143753,28.5985,30.1251,31.6518,2,30.8884,29.3618,,,0
116,SRR23143753,28.7708,30.1793,31.5878,2,30.8835,29.475,,,0
117,SRR23143753,28.9898,30.1348,31.2798,2,30.7073,29.5623,,,0
118,SRR23143753,29.3161,30.1274,30.9386,2,30.533,29.7218,,,0
119,SRR23143753,29.1143,30.0985,31.0828,2,30.5907,29.6064,,,0
120,SRR23143753,29.4209,30.3008,31.1806,2,30.7407,29.8608,,,0
121,SRR23143753,29.4722,30.3116,31.1509,2,30.7313,29.8919,,,28
122,SRR23143753,29.5254,30.4289,31.3323,2,30.8806,29.9771,,,-28
123,SRR23143753,29.4332,30.4044,31.3755,2,30.89,29.9188,,,0
124,SRR23143753,29.4032,30.427,31.4508,2,30.9389,29.9151,,,0
125,SRR23143753,29.2853,30.3873,31.4893,2,30.9383,29.8363,,,4900
126,SRR23143753,29.3336,30.37,31.4065,2,30.8883,29.8518,,,-4900
127,SRR23143753,29.2681,30.4,31.5319,2,30.966,29.834,,,0
128,SRR23143753,29.4425,30.3946,31.3467,2,30.8707,29.9186,,,0
129,SRR23143753,29.5107,30.3971,31.2834,2,30.8403,29.9539,,,0
130,SRR23143753,29.6773,30.4702,31.2631,2,30.8667,30.0738,,,0
131,SRR23143753,29.7046,30.4835,31.2624,2,30.8729,30.094,,,1
132,SRR23143753,29.8488,30.5333,31.2179,2,30.8756,30.1911,,,-1
133,SRR23143753,29.8403,30.5481,31.256,2,30.9021,30.1942,,,0
